region,total_mass
S-FRONT,163
S-FRONT,191
S-FRONT,241
CORE,318
CORE,459
CORE,139
W-FRONT,257
W-FRONT,218
W-FRONT,420
S-FRONT,216
CORE,318
CORE,182
W-FRONT,295
S-FRONT,278
CORE,411
CORE,296
W-FRONT,289
S-FRONT,271
CORE,761
CORE,314
W-FRONT,301
W-FRONT,336
S-FRONT,236
CORE,268
S-FRONT,155
CORE,393
W-FRONT,312
W-FRONT,242
CORE,345
S-FRONT,207
CORE,164
W-FRONT,338
CORE,415
CORE,118
CORE,411
W-FRONT,330
W-FRONT,272
S-FRONT,192
S-FRONT,162
CORE,427
CORE,262
CORE,387
CORE,439
CORE,170
W-FRONT,200
W-FRONT,309
S-FRONT,188
S-FRONT,384
S-FRONT,353
S-FRONT,217
W-FRONT,425
W-FRONT,339
CORE,837
CORE,193
CORE,507
CORE,837
S-FRONT,222
W-FRONT,415
CORE,540
CORE,554
S-FRONT,310
W-FRONT,287
CORE,506
CORE,502
CORE,771
S-FRONT,284
W-FRONT,552
CORE,486
CORE,369
S-FRONT,249
W-FRONT,256
CORE,557
W-FRONT,357
CORE,524
S-FRONT,219
S-FRONT,266
CORE,267
W-FRONT,311
CORE,677
S-FRONT,275
CORE,361
W-FRONT,300
CORE,741
CORE,370
CORE,538
W-FRONT,338
S-FRONT,342
CORE,423
CORE,455
W-FRONT,205
S-FRONT,185
CORE,776
S-FRONT,344
W-FRONT,439
CORE,413
CORE,497
S-FRONT,226
W-FRONT,699
CORE,483
CORE,449
S-FRONT,352
CORE,713
W-FRONT,353
CORE,920
S-FRONT,270
CORE,673
W-FRONT,537
W-FRONT,246
CORE,229
CORE,617
S-FRONT,315
W-FRONT,383
S-FRONT,236
CORE,499
CORE,460
W-FRONT,593
S-FRONT,350
S-FRONT,219
W-FRONT,333
CORE,721
CORE,467
S-FRONT,402
W-FRONT,372
CORE,389
CORE,503
S-FRONT,167
W-FRONT,667
CORE,874
S-FRONT,194
S-FRONT,187
S-FRONT,284
S-FRONT,362
S-FRONT,202
W-FRONT,305
W-FRONT,475
W-FRONT,180
S-FRONT,136
W-FRONT,218
W-FRONT,195
W-FRONT,199
W-FRONT,220
W-FRONT,228
W-FRONT,232
CORE,392
CORE,484
CORE,197
CORE,251
CORE,377
CORE,422
CORE,232
CORE,220
CORE,392
CORE,215
CORE,327
CORE,564
CORE,362
CORE,538
CORE,354
CORE,559
CORE,294
CORE,410
CORE,636
CORE,827
S-FRONT,304
S-FRONT,280
W-FRONT,312
W-FRONT,311
CORE,411
CORE,345
CORE,325
S-FRONT,155
W-FRONT,376
CORE,281
S-FRONT,256
W-FRONT,453
CORE,501
S-FRONT,266
W-FRONT,688
W-FRONT,393
CORE,296
S-FRONT,212
W-FRONT,273
CORE,304
S-FRONT,403
W-FRONT,312
CORE,478
S-FRONT,381
W-FRONT,436
CORE,497
S-FRONT,394
S-FRONT,183
W-FRONT,496
CORE,599
S-FRONT,180
W-FRONT,400
CORE,371
S-FRONT,214
W-FRONT,523
CORE,698
S-FRONT,277
W-FRONT,254
CORE,384
CORE,320
S-FRONT,287
W-FRONT,327
CORE,282
S-FRONT,226
W-FRONT,622
CORE,407
S-FRONT,165
W-FRONT,287
CORE,499
S-FRONT,122
W-FRONT,319
